,Date,주택뉴스심리지수,오피스뉴스심리지수,리테일뉴스심리지수,물류뉴스심리지수
175,2019-06-25,0.5,0.455,1.0,0.0
176,2019-06-26,0.526,0.5,0.667,0.0
177,2019-06-27,0.617,0.667,0.667,0.5
178,2019-06-28,0.558,0.143,0.0,0.0
179,2019-06-29,0.625,0.667,0.0,0.0
180,2019-06-30,0.419,0.333,1.0,1.0
181,2019-07-01,0.568,0.5,1.0,0.2
182,2019-07-02,0.565,1.0,0.0,0.0
183,2019-07-03,0.433,0.423,0.0,0.333
184,2019-07-04,0.524,0.3,0.5,0.25
185,2019-07-05,0.783,0.5,0.0,0.222
186,2019-07-06,0.5,0.5,1.0,0.0
187,2019-07-07,0.618,0.0,0.0,0.0
188,2019-07-08,0.722,0.333,0.2,0.2
189,2019-07-09,0.571,0.235,1.0,0.2
190,2019-07-10,0.535,0.176,0.0,0.667
191,2019-07-11,0.448,0.5,0.5,0.222
192,2019-07-12,0.64,0.333,0.0,0.25
193,2019-07-13,0.4,0.5,1.0,0.5
194,2019-07-14,0.6,0.5,0.0,0.5
195,2019-07-15,0.409,0.571,0.667,0.0
196,2019-07-16,0.422,0.545,0.5,0.2
197,2019-07-17,0.829,0.692,0.0,0.75
198,2019-07-18,0.519,0.286,0.0,1.0
199,2019-07-19,0.378,0.25,0.0,0.0
200,2019-07-20,0.438,0.0,0.0,0.0
201,2019-07-21,0.507,0.0,0.0,0.0
202,2019-07-22,0.4,0.312,0.0,0.25
203,2019-07-23,0.443,0.143,0.333,0.6
204,2019-07-24,0.405,0.267,0.0,0.308
205,2019-07-25,0.484,0.417,0.5,0.0
206,2019-07-26,0.614,0.429,0.0,0.5
207,2019-07-27,0.476,0.0,0.0,0.0
208,2019-07-28,0.611,0.0,0.5,1.0
209,2019-07-29,0.415,0.444,0.5,0.667
210,2019-07-30,0.563,0.455,0.0,0.571
211,2019-07-31,0.566,0.333,0.0,0.5
212,2019-08-01,0.4,0.462,0.5,0.2
213,2019-08-02,0.5,0.6,0.333,0.4
214,2019-08-03,0.429,0.333,0.0,0.0
215,2019-08-04,0.417,1.0,0.0,0.0
216,2019-08-05,0.5,0.5,0.0,0.0
217,2019-08-06,0.565,0.3,0.0,0.75
218,2019-08-07,0.317,0.231,1.0,0.0
219,2019-08-08,0.549,0.444,0.5,0.333
220,2019-08-09,0.6,0.545,0.8,0.5
221,2019-08-10,0.5,0.0,1.0,0.0
222,2019-08-11,0.708,1.0,1.0,1.0
223,2019-08-12,0.671,0.0,0.5,0.667
224,2019-08-13,0.517,0.556,0.5,0.375
225,2019-08-14,0.593,0.5,1.0,0.0
226,2019-08-15,0.312,0.286,1.0,0.5
227,2019-08-16,0.595,0.273,0.5,0.0
228,2019-08-17,0.652,1.0,1.0,0.0
229,2019-08-18,0.545,1.0,0.2,0.0
230,2019-08-19,0.41,0.273,0.429,0.714
231,2019-08-20,0.295,0.438,0.333,0.444
232,2019-08-21,0.39,0.333,1.0,0.0
233,2019-08-22,0.543,0.364,0.5,0.333
234,2019-08-23,0.543,0.5,0.25,0.5
235,2019-08-24,0.357,0.0,0.0,0.0
236,2019-08-25,0.431,0.5,0.0,0.0
237,2019-08-26,0.379,0.667,1.0,0.0
238,2019-08-27,0.42,0.333,0.5,0.0
239,2019-08-28,0.487,0.5,0.75,0.667
240,2019-08-29,0.404,0.364,0.5,0.5
241,2019-08-30,0.462,0.364,0.5,0.2
242,2019-08-31,0.296,0.5,0.0,0.5
243,2019-09-01,0.643,0.25,0.4,1.0
244,2019-09-02,0.636,0.833,0.333,0.25
245,2019-09-03,0.545,0.8,0.667,0.0
246,2019-09-04,0.46,0.667,0.333,0.167
247,2019-09-05,0.527,0.286,0.25,0.0
248,2019-09-06,0.52,0.231,0.0,1.0
249,2019-09-07,0.286,0.0,0.0,0.0
250,2019-09-08,0.742,1.0,0.0,0.0
251,2019-09-09,0.6,0.714,0.5,0.0
252,2019-09-10,0.5,0.667,0.5,1.0
253,2019-09-11,0.716,0.429,0.333,0.875
254,2019-09-12,0.5,0.0,0.0,0.0
255,2019-09-13,0.412,0.5,0.0,0.0
256,2019-09-14,0.615,0.25,0.0,0.0
257,2019-09-15,0.481,0.5,0.333,0.0
258,2019-09-16,0.63,0.5,0.4,0.667
259,2019-09-17,0.605,0.545,0.8,0.667
