,주택매매가격지수 (KB),부동산 소비 심리 지수,월간_매매가격지수_종합,주택매매전체건수,,
2019-04-12,79.824,92.7,90.40711414,43444,,
2019-04-15,79.824,92.7,90.40711414,43444,,
2019-04-16,79.824,92.7,90.40711414,43444,,
2019-04-17,79.824,92.7,90.40711414,43444,,
2019-04-18,79.824,92.7,90.40711414,43444,,
2019-04-19,79.824,92.7,90.40711414,43444,,
2019-04-22,79.74,90.9,90.26223608,43444,,
2019-04-23,79.74,90.9,90.26223608,43444,,
2019-04-24,79.74,90.9,90.26223608,43444,,
2019-04-25,79.74,90.9,90.26223608,43444,,
2019-04-26,79.74,90.9,90.26223608,43444,,
2019-04-29,79.74,90.9,90.26223608,43444,,
2019-04-30,79.74,90.9,90.26223608,43444,,
2019-05-02,79.74,90.9,90.26223608,51357,,
2019-05-03,79.74,90.9,90.26223608,51357,,
2019-05-07,79.74,90.9,90.26223608,51357,,
2019-05-08,79.74,90.9,90.26223608,51357,,
2019-05-09,79.74,90.9,90.26223608,51357,,
2019-05-10,79.74,90.9,90.26223608,51357,,
2019-05-13,79.74,90.9,90.26223608,51357,,
2019-05-14,79.74,90.9,90.26223608,51357,,
2019-05-15,79.74,90.9,90.26223608,51357,,
2019-05-16,79.74,90.9,90.26223608,51357,,
2019-05-17,79.74,90.9,90.26223608,51357,,
2019-05-20,79.63,87.7,90.07561229,51357,,
2019-05-21,79.63,87.7,90.07561229,51357,,
2019-05-22,79.63,87.7,90.07561229,51357,,
2019-05-23,79.63,87.7,90.07561229,51357,,
2019-05-24,79.63,87.7,90.07561229,51357,,
2019-05-27,79.63,87.7,90.07561229,51357,,
2019-05-28,79.63,87.7,90.07561229,51357,,
2019-05-29,79.63,87.7,90.07561229,51357,,
2019-05-30,79.63,87.7,90.07561229,51357,,
2019-05-31,79.63,87.7,90.07561229,51357,,
2019-06-03,79.63,87.7,90.07561229,57025,,
2019-06-04,79.63,87.7,90.07561229,57025,,
2019-06-05,79.63,87.7,90.07561229,57025,,
2019-06-07,79.63,87.7,90.07561229,57025,,
2019-06-10,79.63,87.7,90.07561229,57025,,
2019-06-11,79.63,87.7,90.07561229,57025,,
2019-06-12,79.63,87.7,90.07561229,57025,,
2019-06-13,79.63,87.7,90.07561229,57025,,
2019-06-14,79.63,87.7,90.07561229,57025,,
2019-06-17,79.63,87.7,90.07561229,57025,,
2019-06-18,79.63,87.7,90.07561229,57025,,
2019-06-19,79.63,87.7,90.07561229,57025,,
2019-06-20,79.577,91.3,89.93153354,57025,,
2019-06-21,79.577,91.3,89.93153354,57025,,
2019-06-24,79.577,91.3,89.93153354,57025,,
2019-06-25,79.577,91.3,89.93153354,57025,,
2019-06-26,79.577,91.3,89.93153354,57025,,
2019-06-27,79.577,91.3,89.93153354,57025,,
2019-06-28,79.577,91.3,89.93153354,57025,,
2019-07-01,79.577,91.3,89.93153354,57103,,
2019-07-02,79.577,91.3,89.93153354,57103,,
2019-07-03,79.577,91.3,89.93153354,57103,,
2019-07-04,79.577,91.3,89.93153354,57103,,
2019-07-05,79.577,91.3,89.93153354,57103,,
2019-07-08,79.577,91.3,89.93153354,57103,,
2019-07-09,79.577,91.3,89.93153354,57103,,
2019-07-10,79.577,91.3,89.93153354,57103,,
2019-07-11,79.577,91.3,89.93153354,57103,,
2019-07-12,79.577,91.3,89.93153354,57103,,
2019-07-15,79.577,91.3,89.93153354,57103,,
2019-07-16,79.577,91.3,89.93153354,57103,,
2019-07-17,79.577,91.3,89.93153354,57103,,
2019-07-18,79.577,91.3,89.93153354,57103,,
2019-07-19,79.577,91.3,89.93153354,57103,,
2019-07-22,79.508,97.9,89.81618864,57103,,
2019-07-23,79.508,97.9,89.81618864,57103,,
2019-07-24,79.508,97.9,89.81618864,57103,,
2019-07-25,79.508,97.9,89.81618864,57103,,
2019-07-26,79.508,97.9,89.81618864,57103,,
2019-07-29,79.508,97.9,89.81618864,57103,,
2019-07-30,79.508,97.9,89.81618864,57103,,
2019-07-31,79.508,97.9,89.81618864,57103,,
2019-08-01,79.508,97.9,89.81618864,54893,,
2019-08-02,79.508,97.9,89.81618864,54893,,
2019-08-05,79.508,97.9,89.81618864,54893,,
2019-08-06,79.508,97.9,89.81618864,54893,,
2019-08-07,79.508,97.9,89.81618864,54893,,
2019-08-08,79.508,97.9,89.81618864,54893,,
2019-08-09,79.508,97.9,89.81618864,54893,,
2019-08-12,79.508,97.9,89.81618864,54893,,
2019-08-13,79.508,97.9,89.81618864,54893,,
2019-08-14,79.508,97.9,89.81618864,54893,,
2019-08-16,79.508,97.9,89.81618864,54893,,
2019-08-19,79.508,97.9,89.81618864,54893,,
2019-08-20,79.502,101.7,89.73471085,54893,,
2019-08-21,79.502,101.7,89.73471085,54893,,
2019-08-22,79.502,101.7,89.73471085,54893,,
2019-08-23,79.502,101.7,89.73471085,54893,,
2019-08-26,79.502,101.7,89.73471085,54893,,
2019-08-27,79.502,101.7,89.73471085,54893,,
2019-08-28,79.502,101.7,89.73471085,54893,,
2019-08-29,79.502,101.7,89.73471085,54893,,
2019-08-30,79.502,101.7,89.73471085,54893,,
2019-09-02,79.502,101.7,89.73471085,67349,,
2019-09-03,79.502,101.7,89.73471085,67349,,
2019-09-04,79.502,101.7,89.73471085,67349,,
2019-09-05,79.502,101.7,89.73471085,67349,,
2019-09-06,79.502,101.7,89.73471085,67349,,
2019-09-09,79.502,101.7,89.73471085,67349,,
2019-09-10,79.502,101.7,89.73471085,67349,,
2019-09-11,79.502,101.7,89.73471085,67349,,
2019-09-16,79.502,101.7,89.73471085,67349,,
2019-09-17,79.502,101.7,89.73471085,67349,,
2019-09-18,79.502,101.7,89.73471085,67349,,
2019-09-19,79.502,101.7,89.73471085,67349,,
2019-09-20,79.546,103.5,89.69087568,67349,,
2019-09-23,79.546,103.5,89.69087568,67349,,
2019-09-24,79.546,103.5,89.69087568,67349,,
2019-09-25,79.546,103.5,89.69087568,67349,,
2019-09-26,79.546,103.5,89.69087568,67349,,
2019-09-27,79.546,103.5,89.69087568,67349,,
2019-09-30,79.546,103.5,89.69087568,67349,,
2019-10-01,79.546,103.5,89.69087568,66506,,
2019-10-02,79.546,103.5,89.69087568,66506,,
2019-10-04,79.546,103.5,89.69087568,66506,,
2019-10-07,79.546,103.5,89.69087568,66506,,
2019-10-08,79.546,103.5,89.69087568,66506,,
2019-10-10,79.546,103.5,89.69087568,66506,,
2019-10-11,79.546,103.5,89.69087568,66506,,
2019-10-14,79.546,103.5,89.69087568,66506,,
2019-10-15,79.546,103.5,89.69087568,66506,,
2019-10-16,79.546,103.5,89.69087568,66506,,
2019-10-17,79.546,103.5,89.69087568,66506,,
2019-10-18,79.546,103.5,89.69087568,66506,,
2019-10-21,79.589,108.4,89.70384126,66506,,
2019-10-22,79.589,108.4,89.70384126,66506,,
2019-10-23,79.589,108.4,89.70384126,66506,,
2019-10-24,79.589,108.4,89.70384126,66506,,
2019-10-25,79.589,108.4,89.70384126,66506,,
2019-10-28,79.589,108.4,89.70384126,66506,,
2019-10-29,79.589,108.4,89.70384126,66506,,
2019-10-30,79.589,108.4,89.70384126,66506,,
2019-10-31,79.589,108.4,89.70384126,66506,,
2019-11-01,79.589,108.4,89.70384126,64088,,
2019-11-04,79.589,108.4,89.70384126,64088,,
2019-11-05,79.589,108.4,89.70384126,64088,,
2019-11-06,79.589,108.4,89.70384126,64088,,
2019-11-07,79.589,108.4,89.70384126,64088,,
2019-11-08,79.589,108.4,89.70384126,64088,,
2019-11-11,79.589,108.4,89.70384126,64088,,
2019-11-12,79.589,108.4,89.70384126,64088,,
2019-11-13,79.589,108.4,89.70384126,64088,,
2019-11-14,79.589,108.4,89.70384126,64088,,
2019-11-15,79.589,108.4,89.70384126,64088,,
2019-11-18,79.589,108.4,89.70384126,64088,,
2019-11-19,79.589,108.4,89.70384126,64088,,
2019-11-20,79.664,112.7,89.80942606,64088,,
2019-11-21,79.664,112.7,89.80942606,64088,,
2019-11-22,79.664,112.7,89.80942606,64088,,
2019-11-25,79.664,112.7,89.80942606,64088,,
2019-11-26,79.664,112.7,89.80942606,64088,,
2019-11-27,79.664,112.7,89.80942606,64088,,
2019-11-28,79.664,112.7,89.80942606,64088,,
2019-11-29,79.664,112.7,89.80942606,64088,,
2019-12-02,79.664,112.7,89.80942606,82393,,
2019-12-03,79.664,112.7,89.80942606,82393,,
2019-12-04,79.664,112.7,89.80942606,82393,,
2019-12-05,79.664,112.7,89.80942606,82393,,
2019-12-06,79.664,112.7,89.80942606,82393,,
2019-12-09,79.664,112.7,89.80942606,82393,,
2019-12-10,79.664,112.7,89.80942606,82393,,
2019-12-11,79.664,112.7,89.80942606,82393,,
2019-12-12,79.664,112.7,89.80942606,82393,,
2019-12-13,79.664,112.7,89.80942606,82393,,
2019-12-16,79.664,112.7,89.80942606,82393,,
2019-12-17,79.664,112.7,89.80942606,82393,,
2019-12-18,79.664,112.7,89.80942606,82393,,
2019-12-19,79.664,112.7,89.80942606,82393,,
2019-12-20,79.776,114.4,89.98047613,82393,,
2019-12-23,79.776,114.4,89.98047613,82393,,
2019-12-24,79.776,114.4,89.98047613,82393,,
2019-12-26,79.776,114.4,89.98047613,82393,,
2019-12-27,79.776,114.4,89.98047613,82393,,
2019-12-30,79.776,114.4,89.98047613,82393,,
2020-01-02,79.776,114.4,89.98047613,92413,,
2020-01-03,79.776,114.4,89.98047613,92413,,
2020-01-06,79.776,114.4,89.98047613,92413,,
2020-01-07,79.776,114.4,89.98047613,92413,,
2020-01-08,79.776,114.4,89.98047613,92413,,
2020-01-09,79.776,114.4,89.98047613,92413,,
2020-01-10,79.776,114.4,89.98047613,92413,,
2020-01-13,79.776,114.4,89.98047613,92413,,
2020-01-14,79.776,114.4,89.98047613,92413,,
2020-01-15,79.776,114.4,89.98047613,92413,,
2020-01-16,79.776,114.4,89.98047613,92413,,
2020-01-17,79.776,114.4,89.98047613,92413,,
2020-01-20,80.054,114.3,90.32279404,92413,,
2020-01-21,80.054,114.3,90.32279404,92413,,
2020-01-22,80.054,114.3,90.32279404,92413,,
2020-01-23,80.054,114.3,90.32279404,92413,,
2020-01-28,80.054,114.3,90.32279404,92413,,
2020-01-29,80.054,114.3,90.32279404,92413,,
2020-01-30,80.054,114.3,90.32279404,92413,,
2020-01-31,80.054,114.3,90.32279404,92413,,
2020-02-03,80.054,114.3,90.32279404,118415,,
2020-02-04,80.054,114.3,90.32279404,118415,,
2020-02-05,80.054,114.3,90.32279404,118415,,
2020-02-06,80.054,114.3,90.32279404,118415,,
2020-02-07,80.054,114.3,90.32279404,118415,,
2020-02-10,80.054,114.3,90.32279404,118415,,
2020-02-11,80.054,114.3,90.32279404,118415,,
2020-02-12,80.054,114.3,90.32279404,118415,,
2020-02-13,80.054,114.3,90.32279404,118415,,
2020-02-14,80.054,114.3,90.32279404,118415,,
2020-02-17,80.054,114.3,90.32279404,118415,,
2020-02-18,80.054,114.3,90.32279404,118415,,
2020-02-19,80.054,114.3,90.32279404,118415,,
2020-02-20,80.337,113.0,90.57142319,118415,,
2020-02-21,80.337,113.0,90.57142319,118415,,
2020-02-24,80.337,113.0,90.57142319,118415,,
2020-02-25,80.337,113.0,90.57142319,118415,,
2020-02-26,80.337,113.0,90.57142319,118415,,
2020-02-27,80.337,113.0,90.57142319,118415,,
2020-02-28,80.337,113.0,90.57142319,118415,,
2020-03-02,80.337,113.0,90.57142319,101334,,
2020-03-03,80.337,113.0,90.57142319,101334,,
2020-03-04,80.337,113.0,90.57142319,101334,,
2020-03-05,80.337,113.0,90.57142319,101334,,
2020-03-06,80.337,113.0,90.57142319,101334,,
2020-03-09,80.337,113.0,90.57142319,101334,,
2020-03-10,80.337,113.0,90.57142319,101334,,
2020-03-11,80.337,113.0,90.57142319,101334,,
2020-03-12,80.337,113.0,90.57142319,101334,,
2020-03-13,80.337,113.0,90.57142319,101334,,
2020-03-16,80.337,113.0,90.57142319,101334,,
2020-03-17,80.337,113.0,90.57142319,101334,,
2020-03-18,80.337,113.0,90.57142319,101334,,
2020-03-19,80.337,113.0,90.57142319,101334,,
2020-03-20,80.634,115.9,90.87654049,101334,,
2020-03-23,80.634,115.9,90.87654049,101334,,
2020-03-24,80.634,115.9,90.87654049,101334,,
2020-03-25,80.634,115.9,90.87654049,101334,,
2020-03-26,80.634,115.9,90.87654049,101334,,
2020-03-27,80.634,115.9,90.87654049,101334,,
2020-03-30,80.634,115.9,90.87654049,101334,,
2020-03-31,80.634,115.9,90.87654049,101334,,
2020-04-01,80.634,115.9,90.87654049,115264,,
2020-04-02,80.634,115.9,90.87654049,115264,,
2020-04-03,80.634,115.9,90.87654049,115264,,
2020-04-06,80.634,115.9,90.87654049,115264,,
2020-04-07,80.634,115.9,90.87654049,115264,,
2020-04-08,80.634,115.9,90.87654049,115264,,
2020-04-09,80.634,115.9,90.87654049,115264,,
2020-04-10,80.634,115.9,90.87654049,115264,,
2020-04-13,80.634,115.9,90.87654049,115264,,
2020-04-14,80.634,115.9,90.87654049,115264,,
2020-04-16,80.634,115.9,90.87654049,115264,,
2020-04-17,80.634,115.9,90.87654049,115264,,
2020-04-20,81.084,107.0,91.36920152,115264,,
2020-04-21,81.084,107.0,91.36920152,115264,,
2020-04-22,81.084,107.0,91.36920152,115264,,
2020-04-23,81.084,107.0,91.36920152,115264,,
2020-04-24,81.084,107.0,91.36920152,115264,,
2020-04-27,81.084,107.0,91.36920152,115264,,
2020-04-28,81.084,107.0,91.36920152,115264,,
2020-04-29,81.084,107.0,91.36920152,115264,,
2020-05-04,81.084,107.0,91.36920152,108677,,
2020-05-06,81.084,107.0,91.36920152,108677,,
2020-05-07,81.084,107.0,91.36920152,108677,,
2020-05-08,81.084,107.0,91.36920152,108677,,
2020-05-11,81.084,107.0,91.36920152,108677,,
2020-05-12,81.084,107.0,91.36920152,108677,,
2020-05-13,81.084,107.0,91.36920152,108677,,
2020-05-14,81.084,107.0,91.36920152,108677,,
2020-05-15,81.084,107.0,91.36920152,108677,,
2020-05-18,81.084,107.0,91.36920152,108677,,
2020-05-19,81.084,107.0,91.36920152,108677,,
2020-05-20,81.27,103.1,91.61787398,108677,,
2020-05-21,81.27,103.1,91.61787398,108677,,
2020-05-22,81.27,103.1,91.61787398,108677,,
2020-05-25,81.27,103.1,91.61787398,108677,,
2020-05-26,81.27,103.1,91.61787398,108677,,
2020-05-27,81.27,103.1,91.61787398,108677,,
2020-05-28,81.27,103.1,91.61787398,108677,,
2020-05-29,81.27,103.1,91.61787398,108677,,
2020-06-01,81.27,103.1,91.61787398,73531,,
2020-06-02,81.27,103.1,91.61787398,73531,,
2020-06-03,81.27,103.1,91.61787398,73531,,
2020-06-04,81.27,103.1,91.61787398,73531,,
2020-06-05,81.27,103.1,91.61787398,73531,,
2020-06-08,81.27,103.1,91.61787398,73531,,
2020-06-09,81.27,103.1,91.61787398,73531,,
2020-06-10,81.27,103.1,91.61787398,73531,,
2020-06-11,81.27,103.1,91.61787398,73531,,
2020-06-12,81.27,103.1,91.61787398,73531,,
2020-06-15,81.27,103.1,91.61787398,73531,,
2020-06-16,81.27,103.1,91.61787398,73531,,
2020-06-17,81.27,103.1,91.61787398,73531,,
2020-06-18,81.27,103.1,91.61787398,73531,,
2020-06-19,81.27,103.1,91.61787398,73531,,
2020-06-22,81.382,109.8,91.74158747,73531,,
2020-06-23,81.382,109.8,91.74158747,73531,,
2020-06-24,81.382,109.8,91.74158747,73531,,
2020-06-25,81.382,109.8,91.74158747,73531,,
2020-06-26,81.382,109.8,91.74158747,73531,,
2020-06-29,81.382,109.8,91.74158747,73531,,
2020-06-30,81.382,109.8,91.74158747,73531,,
2020-07-01,81.382,109.8,91.74158747,83494,,
2020-07-02,81.382,109.8,91.74158747,83494,,
2020-07-03,81.382,109.8,91.74158747,83494,,
2020-07-06,81.382,109.8,91.74158747,83494,,
2020-07-07,81.382,109.8,91.74158747,83494,,
2020-07-08,81.382,109.8,91.74158747,83494,,
2020-07-09,81.382,109.8,91.74158747,83494,,
2020-07-10,81.382,109.8,91.74158747,83494,,
2020-07-13,81.382,109.8,91.74158747,83494,,
2020-07-14,81.382,109.8,91.74158747,83494,,
2020-07-15,81.382,109.8,91.74158747,83494,,
2020-07-16,81.382,109.8,91.74158747,83494,,
2020-07-17,81.382,109.8,91.74158747,83494,,
2020-07-20,81.776,120.2,92.11817304,83494,,
2020-07-21,81.776,120.2,92.11817304,83494,,
2020-07-22,81.776,120.2,92.11817304,83494,,
2020-07-23,81.776,120.2,92.11817304,83494,,
2020-07-24,81.776,120.2,92.11817304,83494,,
2020-07-27,81.776,120.2,92.11817304,83494,,
2020-07-28,81.776,120.2,92.11817304,83494,,
2020-07-29,81.776,120.2,92.11817304,83494,,
2020-07-30,81.776,120.2,92.11817304,83494,,
2020-07-31,81.776,120.2,92.11817304,83494,,
2020-08-03,81.776,120.2,92.11817304,138578,,
2020-08-04,81.776,120.2,92.11817304,138578,,
2020-08-05,81.776,120.2,92.11817304,138578,,
2020-08-06,81.776,120.2,92.11817304,138578,,
2020-08-07,81.776,120.2,92.11817304,138578,,
2020-08-10,81.776,120.2,92.11817304,138578,,
2020-08-11,81.776,120.2,92.11817304,138578,,
2020-08-12,81.776,120.2,92.11817304,138578,,
2020-08-13,81.776,120.2,92.11817304,138578,,
2020-08-14,81.776,120.2,92.11817304,138578,,
2020-08-18,81.776,120.2,92.11817304,138578,,
2020-08-19,81.776,120.2,92.11817304,138578,,
2020-08-20,82.495,121.2,92.68316522,138578,,
2020-08-21,82.495,121.2,92.68316522,138578,,
2020-08-24,82.495,121.2,92.68316522,138578,,
2020-08-25,82.495,121.2,92.68316522,138578,,
2020-08-26,82.495,121.2,92.68316522,138578,,
2020-08-27,82.495,121.2,92.68316522,138578,,
2020-08-28,82.495,121.2,92.68316522,138578,,
2020-08-31,82.495,121.2,92.68316522,138578,,
2020-09-01,82.495,121.2,92.68316522,141419,,
2020-09-02,82.495,121.2,92.68316522,141419,,
2020-09-03,82.495,121.2,92.68316522,141419,,
2020-09-04,82.495,121.2,92.68316522,141419,,
2020-09-07,82.495,121.2,92.68316522,141419,,
2020-09-08,82.495,121.2,92.68316522,141419,,
2020-09-09,82.495,121.2,92.68316522,141419,,
2020-09-10,82.495,121.2,92.68316522,141419,,
2020-09-11,82.495,121.2,92.68316522,141419,,
2020-09-14,82.495,121.2,92.68316522,141419,,
2020-09-15,82.495,121.2,92.68316522,141419,,
2020-09-16,82.495,121.2,92.68316522,141419,,
2020-09-17,82.495,121.2,92.68316522,141419,,
2020-09-18,82.495,121.2,92.68316522,141419,,
2020-09-21,83.137,120.3,93.12136817,141419,,
2020-09-22,83.137,120.3,93.12136817,141419,,
2020-09-23,83.137,120.3,93.12136817,141419,,
2020-09-24,83.137,120.3,93.12136817,141419,,
2020-09-25,83.137,120.3,93.12136817,141419,,
2020-09-28,83.137,120.3,93.12136817,141419,,
2020-09-29,83.137,120.3,93.12136817,141419,,
2020-10-05,83.137,120.3,93.12136817,85272,,
2020-10-06,83.137,120.3,93.12136817,85272,,
2020-10-07,83.137,120.3,93.12136817,85272,,
2020-10-08,83.137,120.3,93.12136817,85272,,
2020-10-12,83.137,120.3,93.12136817,85272,,
2020-10-13,83.137,120.3,93.12136817,85272,,
2020-10-14,83.137,120.3,93.12136817,85272,,
2020-10-15,83.137,120.3,93.12136817,85272,,
2020-10-16,83.137,120.3,93.12136817,85272,,
2020-10-19,83.137,120.3,93.12136817,85272,,
2020-10-20,83.798,121.1,93.51507395,85272,,
2020-10-21,83.798,121.1,93.51507395,85272,,
2020-10-22,83.798,121.1,93.51507395,85272,,
2020-10-23,83.798,121.1,93.51507395,85272,,
2020-10-26,83.798,121.1,93.51507395,85272,,
2020-10-27,83.798,121.1,93.51507395,85272,,
2020-10-28,83.798,121.1,93.51507395,85272,,
2020-10-29,83.798,121.1,93.51507395,85272,,
2020-10-30,83.798,121.1,93.51507395,85272,,
2020-11-02,83.798,121.1,93.51507395,81928,,
2020-11-03,83.798,121.1,93.51507395,81928,,
2020-11-04,83.798,121.1,93.51507395,81928,,
2020-11-05,83.798,121.1,93.51507395,81928,,
2020-11-06,83.798,121.1,93.51507395,81928,,
2020-11-09,83.798,121.1,93.51507395,81928,,
2020-11-10,83.798,121.1,93.51507395,81928,,
2020-11-11,83.798,121.1,93.51507395,81928,,
2020-11-12,83.798,121.1,93.51507395,81928,,
2020-11-13,83.798,121.1,93.51507395,81928,,
2020-11-16,83.798,121.1,93.51507395,81928,,
2020-11-17,83.798,121.1,93.51507395,81928,,
2020-11-18,83.798,121.1,93.51507395,81928,,
2020-11-19,83.798,121.1,93.51507395,81928,,
2020-11-20,84.359,128.2,93.81239916,81928,,
2020-11-23,84.359,128.2,93.81239916,81928,,
2020-11-24,84.359,128.2,93.81239916,81928,,
2020-11-25,84.359,128.2,93.81239916,81928,,
2020-11-26,84.359,128.2,93.81239916,81928,,
2020-11-27,84.359,128.2,93.81239916,81928,,
2020-11-30,84.359,128.2,93.81239916,81928,,
2020-12-01,84.359,128.2,93.81239916,92769,,
2020-12-02,84.359,128.2,93.81239916,92769,,
2020-12-03,84.359,128.2,93.81239916,92769,,
2020-12-04,84.359,128.2,93.81239916,92769,,
2020-12-07,84.359,128.2,93.81239916,92769,,
2020-12-08,84.359,128.2,93.81239916,92769,,
2020-12-09,84.359,128.2,93.81239916,92769,,
2020-12-10,84.359,128.2,93.81239916,92769,,
2020-12-11,84.359,128.2,93.81239916,92769,,
2020-12-14,84.359,128.2,93.81239916,92769,,
2020-12-15,84.359,128.2,93.81239916,92769,,
2020-12-16,84.359,128.2,93.81239916,92769,,
2020-12-17,84.359,128.2,93.81239916,92769,,
2020-12-18,84.359,128.2,93.81239916,92769,,
2020-12-21,85.568,131.7,94.31680133,92769,,
2020-12-22,85.568,131.7,94.31680133,92769,,
2020-12-23,85.568,131.7,94.31680133,92769,,
2020-12-24,85.568,131.7,94.31680133,92769,,
2020-12-28,85.568,131.7,94.31680133,92769,,
2020-12-29,85.568,131.7,94.31680133,92769,,
2020-12-30,85.568,131.7,94.31680133,92769,,
2021-01-04,85.568,131.7,94.31680133,116758,,
2021-01-05,85.568,131.7,94.31680133,116758,,
2021-01-06,85.568,131.7,94.31680133,116758,,
2021-01-07,85.568,131.7,94.31680133,116758,,
2021-01-08,85.568,131.7,94.31680133,116758,,
2021-01-11,85.568,131.7,94.31680133,116758,,
2021-01-12,85.568,131.7,94.31680133,116758,,
2021-01-13,85.568,131.7,94.31680133,116758,,
2021-01-14,85.568,131.7,94.31680133,116758,,
2021-01-15,85.568,131.7,94.31680133,116758,,
2021-01-18,85.568,131.7,94.31680133,116758,,
2021-01-19,85.568,131.7,94.31680133,116758,,
2021-01-20,86.735,127.7,95.16448164,116758,,
2021-01-21,86.735,127.7,95.16448164,116758,,
2021-01-22,86.735,127.7,95.16448164,116758,,
2021-01-25,86.735,127.7,95.16448164,116758,,
2021-01-26,86.735,127.7,95.16448164,116758,,
2021-01-27,86.735,127.7,95.16448164,116758,,
2021-01-28,86.735,127.7,95.16448164,116758,,
2021-01-29,86.735,127.7,95.16448164,116758,,
2021-02-01,86.735,127.7,95.16448164,140281,,
2021-02-02,86.735,127.7,95.16448164,140281,,
2021-02-03,86.735,127.7,95.16448164,140281,,
2021-02-04,86.735,127.7,95.16448164,140281,,
2021-02-05,86.735,127.7,95.16448164,140281,,
2021-02-08,86.735,127.7,95.16448164,140281,,
2021-02-09,86.735,127.7,95.16448164,140281,,
2021-02-10,86.735,127.7,95.16448164,140281,,
2021-02-15,86.735,127.7,95.16448164,140281,,
2021-02-16,86.735,127.7,95.16448164,140281,,
2021-02-17,86.735,127.7,95.16448164,140281,,
2021-02-18,86.735,127.7,95.16448164,140281,,
2021-02-19,86.735,127.7,95.16448164,140281,,
2021-02-22,87.767,125.3,95.91699718,140281,,
2021-02-23,87.767,125.3,95.91699718,140281,,
2021-02-24,87.767,125.3,95.91699718,140281,,
2021-02-25,87.767,125.3,95.91699718,140281,,
2021-02-26,87.767,125.3,95.91699718,140281,,
2021-03-02,87.767,125.3,95.91699718,90679,,
2021-03-03,87.767,125.3,95.91699718,90679,,
