,리츠 동일가중지수
2019-12-17,119.28
2019-12-18,117.71
2019-12-19,117.47
2019-12-20,117.60
2019-12-23,117.19
2019-12-24,117.30
2019-12-26,118.43
2019-12-27,117.67
2019-12-30,116.98
2020-01-02,116.84
2020-01-03,116.50
2020-01-06,115.00
2020-01-07,114.53
2020-01-08,112.93
2020-01-09,113.99
2020-01-10,113.45
2020-01-13,111.76
2020-01-14,111.18
2020-01-15,112.65
2020-01-16,112.59
2020-01-17,112.25
2020-01-20,112.00
2020-01-21,112.03
2020-01-22,111.68
2020-01-23,111.26
2020-01-28,109.36
2020-01-29,110.67
2020-01-30,110.33
2020-01-31,110.27
2020-02-03,111.06
2020-02-04,110.39
2020-02-05,110.57
2020-02-06,110.72
2020-02-07,110.87
2020-02-10,111.06
2020-02-11,111.65
2020-02-12,112.00
2020-02-13,112.04
2020-02-14,110.81
2020-02-17,109.49
2020-02-18,109.28
2020-02-19,109.96
2020-02-20,109.14
2020-02-21,108.03
2020-02-24,105.37
2020-02-25,106.22
2020-02-26,105.86
2020-02-27,105.18
2020-02-28,102.55
2020-03-02,103.00
2020-03-03,103.36
2020-03-04,105.49
2020-03-05,107.25
2020-03-06,106.07
2020-03-09,103.64
2020-03-10,103.77
2020-03-11,102.86
2020-03-12,99.91
2020-03-13,94.13
2020-03-16,94.65
2020-03-17,95.86
2020-03-18,95.61
2020-03-19,91.82
2020-03-20,92.46
2020-03-23,87.58
2020-03-24,88.47
2020-03-25,91.16
2020-03-26,93.31
2020-03-27,95.47
2020-03-30,95.97
2020-03-31,96.17
2020-04-01,95.04
2020-04-02,94.95
2020-04-03,95.05
2020-04-06,95.08
2020-04-07,96.12
2020-04-08,95.65
2020-04-09,96.25
2020-04-10,96.58
2020-04-13,96.10
2020-04-14,96.05
2020-04-16,95.76
2020-04-17,97.44
2020-04-20,98.34
2020-04-21,97.41
2020-04-22,97.90
2020-04-23,98.28
2020-04-24,97.42
2020-04-27,97.59
2020-04-28,98.08
2020-04-29,98.52
2020-05-04,98.13
2020-05-06,99.27
2020-05-07,98.78
2020-05-08,99.26
2020-05-11,99.66
2020-05-12,98.89
2020-05-13,98.54
2020-05-14,98.03
2020-05-15,98.37
2020-05-18,98.45
2020-05-19,100.28
2020-05-20,100.50
2020-05-21,102.31
2020-05-22,102.89
2020-05-25,103.03
2020-05-26,103.85
2020-05-27,104.44
2020-05-28,104.08
2020-05-29,104.91
2020-06-01,105.23
2020-06-02,105.57
2020-06-03,104.78
2020-06-04,104.73
2020-06-05,104.65
2020-06-08,105.75
2020-06-09,106.14
2020-06-10,105.78
2020-06-11,104.00
2020-06-12,102.69
2020-06-15,100.82
2020-06-16,101.95
2020-06-17,102.20
2020-06-18,102.34
2020-06-19,102.37
2020-06-22,102.24
2020-06-23,101.66
2020-06-24,101.68
2020-06-25,101.19
2020-06-26,101.44
2020-06-29,100.72
2020-06-30,100.79
2020-07-01,100.82
2020-07-02,100.40
2020-07-03,99.92
2020-07-06,99.52
2020-07-07,98.41
2020-07-08,98.21
2020-07-09,98.67
2020-07-10,99.06
2020-07-13,99.72
2020-07-14,98.79
2020-07-15,99.56
2020-07-16,99.14
2020-07-17,99.74
2020-07-20,99.44
2020-07-21,99.45
2020-07-22,99.68
2020-07-23,98.89
2020-07-24,98.88
2020-07-27,98.74
2020-07-28,98.44
2020-07-29,98.84
2020-07-30,98.99
2020-07-31,99.89
2020-08-03,99.41
2020-08-04,99.37
2020-08-05,99.10
2020-08-06,99.78
2020-08-07,99.72
2020-08-10,99.83
2020-08-11,100.64
2020-08-12,102.60
2020-08-13,102.94
2020-08-14,102.88
2020-08-18,100.90
2020-08-19,101.86
2020-08-20,100.32
2020-08-21,100.98
2020-08-24,100.94
2020-08-25,101.45
2020-08-26,101.30
2020-08-27,100.82
2020-08-28,100.53
2020-08-31,100.47
2020-09-01,100.31
2020-09-02,100.53
2020-09-03,100.79
2020-09-04,100.59
2020-09-07,100.97
2020-09-08,101.09
2020-09-09,101.25
2020-09-10,101.20
2020-09-11,101.32
2020-09-14,101.33
2020-09-15,101.65
2020-09-16,102.01
2020-09-17,101.85
2020-09-18,102.11
2020-09-21,102.32
2020-09-22,102.65
2020-09-23,102.83
2020-09-24,102.04
2020-09-25,102.56
2020-09-28,103.26
2020-09-29,103.81
2020-10-05,103.94
2020-10-06,104.80
2020-10-07,105.07
2020-10-08,105.65
2020-10-12,106.06
2020-10-13,106.33
2020-10-14,106.67
2020-10-15,106.70
2020-10-16,107.17
2020-10-19,108.81
2020-10-20,108.18
2020-10-21,109.01
2020-10-22,109.78
2020-10-23,110.33
2020-10-26,110.26
2020-10-27,110.48
2020-10-28,110.79
2020-10-29,110.54
2020-10-30,110.07
2020-11-02,110.09
2020-11-03,110.01
2020-11-04,110.36
2020-11-05,110.34
2020-11-06,110.20
2020-11-09,110.17
2020-11-10,110.60
2020-11-11,111.39
2020-11-12,114.05
2020-11-13,112.48
2020-11-16,112.58
2020-11-17,112.67
2020-11-18,112.86
2020-11-19,112.69
2020-11-20,112.87
2020-11-23,113.49
2020-11-24,113.71
2020-11-25,113.40
2020-11-26,113.45
2020-11-27,112.93
2020-11-30,112.20
2020-12-01,111.82
2020-12-02,111.97
2020-12-03,111.65
2020-12-04,111.57
2020-12-07,111.16
2020-12-08,110.89
2020-12-09,110.96
2020-12-10,110.77
2020-12-11,111.43
2020-12-14,111.06
2020-12-15,111.19
2020-12-16,112.64
2020-12-17,112.76
2020-12-18,113.53
2020-12-21,113.21
2020-12-22,112.46
2020-12-23,112.62
2020-12-24,112.90
2020-12-28,112.13
2020-12-29,110.41
2020-12-30,110.23
2021-01-04,109.95
2021-01-05,110.10
2021-01-06,110.38
2021-01-07,110.28
2021-01-08,109.61
2021-01-11,109.18
2021-01-12,108.89
2021-01-13,109.08
2021-01-14,109.29
2021-01-15,109.35
2021-01-18,109.46
2021-01-19,109.67
2021-01-20,109.52
2021-01-21,110.24
2021-01-22,110.42
2021-01-25,113.40
2021-01-26,113.44
2021-01-27,113.40
2021-01-28,113.78
2021-01-29,112.79
2021-02-01,113.35
2021-02-02,114.12
2021-02-03,114.36
2021-02-04,114.58
2021-02-05,115.18
2021-02-08,115.24
2021-02-09,115.32
2021-02-10,115.71
2021-02-15,115.43
2021-02-16,115.01
2021-02-17,115.09
2021-02-18,114.72
2021-02-19,114.35
2021-02-22,114.01
2021-02-23,113.35
2021-02-24,112.35
2021-02-25,113.21
2021-02-26,112.69
2021-03-02,113.07
2021-03-03,112.72
2021-03-04,112.61
2021-03-05,112.42
2021-03-08,113.01
2021-03-09,112.29
2021-03-10,112.54
2021-03-11,113.09
2021-03-12,114.06
2021-03-15,114.80
2021-03-16,115.47
2021-03-17,115.71
2021-03-18,116.17
2021-03-19,116.32
2021-03-22,116.64
2021-03-23,116.91
2021-03-24,116.99
2021-03-25,116.75
2021-03-26,118.59
2021-03-29,119.65
2021-03-30,119.47
2021-03-31,119.68
2021-04-01,120.39
2021-04-02,120.99
2021-04-05,122.70
2021-04-06,122.42
2021-04-07,123.47
2021-04-08,123.84
2021-04-09,125.05
2021-04-12,129.37
2021-04-13,128.14
2021-04-14,129.15
2021-04-15,129.37
2021-04-16,128.54
2021-04-19,129.02
2021-04-20,129.04
2021-04-21,129.62
2021-04-22,129.95
2021-04-23,130.41
2021-04-26,132.69
2021-04-27,132.96
2021-04-28,132.18
2021-04-29,131.43
2021-04-30,131.52
2021-05-03,131.92
2021-05-04,132.29
2021-05-06,134.16
2021-05-07,134.49
2021-05-10,134.99
2021-05-11,135.63
2021-05-12,138.49
2021-05-13,137.04
2021-05-14,138.45
2021-05-17,140.94
2021-05-18,141.92
2021-05-20,142.45
2021-05-21,140.57
2021-05-24,139.06
2021-05-25,140.21
2021-05-26,141.17
2021-05-27,141.53
2021-05-28,142.59
2021-05-31,143.00
2021-06-01,143.26
2021-06-02,146.86
2021-06-03,148.14
2021-06-04,147.81
2021-06-07,146.59
2021-06-08,145.41
2021-06-09,147.36
2021-06-10,147.68
2021-06-11,146.67
2021-06-14,145.26
2021-06-15,145.31
2021-06-16,145.22
2021-06-17,146.04
2021-06-18,145.62
2021-06-21,144.12
2021-06-22,144.53
2021-06-23,143.46
2021-06-24,143.22
2021-06-25,143.62
2021-06-28,145.52
2021-06-29,144.23
2021-06-30,145.18
2021-07-01,144.15
2021-07-02,143.76
2021-07-05,143.87
2021-07-06,143.79
2021-07-07,143.36
2021-07-08,141.94
2021-07-09,140.83
2021-07-12,141.09
2021-07-13,140.45
2021-07-14,138.61
2021-07-15,138.93
2021-07-16,138.59
2021-07-19,137.77
2021-07-20,137.79
2021-07-21,136.97
2021-07-22,137.12
2021-07-23,137.45
2021-07-26,136.99
2021-07-27,136.82
2021-07-28,136.60
2021-07-29,136.37
2021-07-30,135.63
2021-08-02,135.56
2021-08-03,134.92
2021-08-04,135.85
2021-08-05,136.06
2021-08-06,136.01
2021-08-09,136.17
2021-08-10,136.02
2021-08-11,135.93
2021-08-12,136.34
2021-08-13,135.38
2021-08-17,133.45
2021-08-18,134.25
2021-08-19,132.50
2021-08-20,130.85
2021-08-23,131.40
2021-08-24,133.65
2021-08-25,134.48
2021-08-26,135.81
2021-08-27,135.74
2021-08-30,136.15
2021-08-31,136.26
2021-09-01,135.70
2021-09-02,136.17
2021-09-03,136.82
2021-09-06,136.87
2021-09-07,137.39
2021-09-08,137.68
2021-09-09,137.98
2021-09-10,138.52
2021-09-13,138.42
2021-09-14,137.91
2021-09-15,137.30
2021-09-16,137.86
2021-09-17,137.77
2021-09-23,136.32
2021-09-24,136.51
2021-09-27,137.46
2021-09-28,137.08
2021-09-29,136.48
2021-09-30,136.84
2021-10-01,136.97
2021-10-05,135.78
2021-10-06,134.68
2021-10-07,136.46
2021-10-08,137.14
2021-10-12,136.61
2021-10-13,136.90
2021-10-14,137.35
2021-10-15,138.04
2021-10-18,138.45
2021-10-19,139.34
2021-10-20,140.06
2021-10-21,140.43
2021-10-22,140.37
2021-10-25,140.55
2021-10-26,141.19
2021-10-27,141.46
2021-10-28,141.27
2021-10-29,141.20
2021-11-01,141.44
2021-11-02,141.00
2021-11-03,139.95
2021-11-04,139.37
2021-11-05,139.42
2021-11-08,141.38
2021-11-09,141.43
2021-11-10,140.47
2021-11-11,140.49
2021-11-12,140.60
2021-11-15,140.46
2021-11-16,139.83
2021-11-17,138.91
2021-11-18,138.61
2021-11-19,138.54
2021-11-22,138.31
2021-11-23,138.17
2021-11-24,138.36
2021-11-25,138.38
2021-11-26,137.63
2021-11-29,135.50
2021-11-30,133.28
2021-12-01,134.17
2021-12-02,134.35
2021-12-03,135.24
2021-12-06,135.41
2021-12-07,135.36
2021-12-08,135.46
2021-12-09,135.33
2021-12-10,135.29
2021-12-13,135.72
2021-12-14,136.21
2021-12-15,136.55
2021-12-16,136.21
2021-12-17,135.87
2021-12-20,136.44
2021-12-21,136.54
2021-12-22,136.70
2021-12-23,137.02
2021-12-24,137.60
2021-12-27,137.92
2021-12-28,138.07
2021-12-29,137.12
2021-12-30,136.99
2022-01-03,137.00
2022-01-04,136.53
2022-01-05,136.62
2022-01-06,136.12
2022-01-07,136.44
2022-01-10,135.65
2022-01-11,135.43
2022-01-12,135.50
2022-01-13,134.79
2022-01-14,134.61
2022-01-17,134.03
2022-01-18,134.00
2022-01-19,133.31
2022-01-20,133.50
2022-01-21,134.03
2022-01-24,133.04
2022-01-25,131.56
2022-01-26,131.98
2022-01-27,130.69
2022-01-28,131.55
2022-02-03,133.02
2022-02-04,133.59
2022-02-07,134.14
2022-02-08,134.93
2022-02-09,135.89
2022-02-10,136.27
2022-02-11,136.42
2022-02-14,136.10
2022-02-15,135.92
2022-02-16,136.59
2022-02-17,136.62
2022-02-18,137.06
2022-02-21,137.03
2022-02-22,136.59
2022-02-23,136.75
2022-02-24,135.73
2022-02-25,136.35
2022-02-28,136.50
2022-03-02,137.13
2022-03-03,137.10
2022-03-04,137.72
2022-03-07,137.16
2022-03-08,136.69
2022-03-10,137.41
2022-03-11,138.26
2022-03-14,138.02
2022-03-15,138.04
2022-03-16,138.27
2022-03-17,138.00
2022-03-18,138.24
2022-03-21,138.26
2022-03-22,138.68
2022-03-23,138.82
2022-03-24,139.26
2022-03-25,139.56
2022-03-28,139.80
2022-03-29,140.22
2022-03-30,140.56
2022-03-31,141.48
2022-04-01,141.80
2022-04-04,143.03
2022-04-05,143.38
2022-04-06,143.35
2022-04-07,143.51
2022-04-08,144.80
2022-04-11,145.25
2022-04-12,145.56
2022-04-13,146.75
2022-04-14,146.92
2022-04-15,149.11
2022-04-18,147.43
2022-04-19,147.02
2022-04-20,147.75
2022-04-21,148.36
2022-04-22,149.11
2022-04-25,149.61
2022-04-26,150.52
2022-04-27,150.18
2022-04-28,148.65
2022-04-29,150.07
2022-05-02,149.28
2022-05-03,146.88
2022-05-04,145.62
2022-05-06,145.33
2022-05-09,144.39
2022-05-10,143.50
2022-05-11,143.97
2022-05-12,142.89
2022-05-13,144.60
2022-05-16,144.91
2022-05-17,144.16
2022-05-18,143.60
2022-05-19,142.92
2022-05-20,143.59
2022-05-23,143.26
2022-05-24,143.63
2022-05-25,144.56
2022-05-26,145.39
2022-05-27,145.08
2022-05-30,144.52
2022-05-31,144.63
